Index,Title,TitleEng,Artist,Cover,Type,Player,Motion,MotionEdited,Facial,Lipsync,Camera,CameraEdited
1,[A]ddiction,[A]ddiction,GigaReol×EVO+,,Female,1,hino,FALSE,,,TsWEITAO,FALSE
2,[A]ddiction,[A]ddiction,GigaReol×EVO+,,Male,1,hino,FALSE,,,TsWEITAO,FALSE
3,CH4NGE,CH4NGE,ギガP,WaMi,,1,mobiusP,FALSE,,,ひな,FALSE
4,Conqueror,Conqueror,IA,,,1,Suzuki Rin,FALSE,,,Torii Is Weird,FALSE
5,Ddu Du Ddu Du,Ddu Du Ddu Du,BLACKPINK,,,1,DollyMolly323,FALSE,,,DollyMolly323,FALSE
6,Deja Vu,Deja Vu,Dreamcatcher,,,1,Sewelina Bloodroyal,FALSE,,,† Fairy Tale †,FALSE
7,FIESTA,FIESTA,IZ＊ONE,,,1,Kimagure,FALSE,,,Launch cover,FALSE
8,Gimme x Gimme,Gimme x Gimme,八王子P × Giga,,,1,シガー,FALSE,ノン,,サメ,FALSE
9,Girls,Girls,Easy Pop x MARiA,,Female,1,のあき,FALSE,,,めんたい子,FALSE
10,Girls,Girls,Easy Pop x MARiA,,Male,1,のあき,FALSE,,,めんたい子,FALSE
11,I'm Your Treasure Box,I'm Your Treasure Box,宝鐘マリン,,,1,のびしろ,FALSE,,,nop,FALSE
12,KING,KING,Kanaria,,A,1,粉ふきスティック,FALSE,,,粉ふきスティック,FALSE
149,KING,KING,Kanaria,,B,1,mobiusP & くるとん,FALSE,,,Momo_MMD,TRUE
13,lamb,lamb,GARNiDELiA,,,1,yurie,FALSE,,,沈維韜,FALSE
14,LIAR DANCE,LIAR DANCE,DECO＊27,,3p,3,moka,FALSE,,,moka,FALSE
16,LIAR DANCE,LIAR DANCE,DECO＊27,,Solo,1,moka,TRUE,,,Aparche,FALSE
15,LOVE DIVE,LOVE DIVE,IVE,,,1,Nikisa San,TRUE,,,Nikisa San,FALSE
17,LUV,LUV,Apink,,Cam1,1,海飘的风,FALSE,,,海飘的风,FALSE
18,LUV,LUV,Apink,,Cam2,1,海飘的风,FALSE,,,海飘的风,FALSE
19,LUV,LUV,Apink,,Cam3,1,海飘的风,FALSE,,,海飘的风,FALSE
20,LUV,LUV,Apink,,Cam1,6,海飘的风,FALSE,,,海飘的风,FALSE
21,LUV,LUV,Apink,,Cam2,6,海飘的风,FALSE,,,海飘的风,FALSE
22,Overdose,Overdose,なとり,,,1,ゆり,FALSE,ひな,,ひな,FALSE
23,p.h.,p.h.,SEVENLINKS,sekai,,1,Taro²,FALSE,,,Sano_,FALSE
24,QUEEN,QUEEN,Kanaria,,,1,卜逻desu,FALSE,,,卜逻desu,FALSE
25,RBB (Really Bad Boy),RBB (Really Bad Boy),Red Velvet,,,1,MirinTheFox,FALSE,,,Misu Tochi,FALSE
27,WA DA DA,WA DA DA,Kep1er,,,1,NatsumiSan,TRUE,,,NatsumiSan,FALSE
28,What is love,What is love,TWICE,,,1,儀(サエ),FALSE,,,儀(サエ),FALSE
29,おねがいダーリン,ONEgai Darlin',ナナホシ管弦楽団,柊優花,,1,hino,FALSE,,,Siva,FALSE
30,お気に召すまま,As You Like It,Eve,,,1,卜逻desu,FALSE,,,卜逻desu,FALSE
31,ふわりクレヨン,Fuwari Crayon,ふわりP,,,1,あひる,FALSE,,,乃伊,FALSE
32,アニマル,Animal,DECO＊27,miComet,,1,0729robo,FALSE,,,形無R,FALSE
33,エンヴィーベイビー,ENVY BABY,Kanaria,,,1,へるか,FALSE,かごるま(仮),,かごるま(仮),FALSE
34,キャットラビング,Cat Loving,香椎モイミ,,,1,楕円,FALSE,,,ひな,FALSE
35,クィホーティ,Quixote,エイハブ (feat. KAFU),,,1,鯖味噌煮サンバ,FALSE,,,ひな,FALSE
36,シニカルナイトプラン,Cynical Night Plan,Ayase,AiR,,1,リングイネ,FALSE,,,ゆきねこ,FALSE
37,シンデレラ,Cinderella,DECO＊27 & Giga,,,1,ponx_迫奈熏,FALSE,Crow_黑袅,,zll左轮,TRUE
38,スターナイトスノウ,Star Night Snow,n-buna × Orangestar,,,1,moka,FALSE,,,予沉,FALSE
39,ダーリンダンス,DARLING DANCE,かいりきベア,さくらみこ,,1,0729robo,FALSE,かごるま(仮),,かごるま(仮),FALSE
40,デビル,Devil,てにをは (feat. KAFU),,,1,アム,FALSE,ひな,,ひな,FALSE
41,トラフィック・ジャム,Traffic Jam,煮ル果実,,,2,午前,FALSE,,,はち,FALSE
42,トラフィック・ジャム (Remixed john),Traffic Jam (Remixed john),煮ル果実,,,1,卜逻desu,FALSE,,,卜逻desu,FALSE
43,ドラマツルギー,Dramaturgy,Eve,,,1,moka,FALSE,,,ゆきねこ,FALSE
44,ドーナツホール,Donut Hole,ハチ,鎖那,,1,あひる,FALSE,,,DG-RINER,FALSE
45,ヒアソビ,Hiasobi,Camellia,,,1,mobiusP,FALSE,,,SvaliN,FALSE
46,ヒガン,Higan,john,,,1,楕円,FALSE,,,ひな,FALSE
47,ヒバナ,Hibana,DECO＊27,,,1,ゲッツ,FALSE,rink,,10million,FALSE
48,ヒビカセ,Hibikase,Giga & Reol,,,1,Awoomachine,FALSE,,,Ayuchan513,FALSE
49,ブリキノダンス,Buriki No Dance,日向電工,,Cam1,1,mobiusP,FALSE,,,ねぎ天,FALSE
50,ブリキノダンス,Buriki No Dance,日向電工,,Cam2,1,mobiusP,FALSE,,,ねぎ天,FALSE
51,マーシャルマキシマイザー,Marshall Maximizer,柊マグネタイト,sekai,,1,PIP,FALSE,ノン,,覚醒拓也(KT),FALSE
52,ミュージックミュージック,Music Music,とあ,,,1,リングイネ,FALSE,,,うつりぎ そう,FALSE
53,ワールドイズマイン,World is Mine,ryo,,Female,1,mobiusP,FALSE,,,ひな,FALSE
54,ワールドイズマイン,World is Mine,ryo,,Male,1,mobiusP,FALSE,,,ひな,FALSE
55,侵蝕,Erosion,niki,,,1,鯖味噌煮サンバ,FALSE,,,ひな,FALSE
56,偽物人間40号,nisemononingen40gou,¿?shimon,,,1,きあおみようじ,FALSE,,,きあおみようじ,FALSE
57,初音ミクの消失,Hatsune miku no shoushitsu,cosMo＠暴走P,,,1,0729robo,FALSE,,,堕天使舞,FALSE
58,喜劇,Comedy,星野源,,,1,卜逻desu,FALSE,,,卜逻desu,FALSE
59,恋愛裁判,Renaisaiban,40mP,,,1,KAZUSA,FALSE,,,KAZUSA,FALSE
60,桃源恋歌,Tougen Renka,GARNiDELiA,,Solo,1,moka,FALSE,,,ゆきねこ,FALSE
61,桃源恋歌,Tougen Renka,GARNiDELiA,,3p,3,moka,FALSE,,,ゆきねこ,FALSE
62,気まぐれメルシィ,Kimagure Mercy,八王子P,,Solo,1,moka,FALSE,,,小麦弥望,FALSE
63,気まぐれメルシィ,Kimagure Mercy,八王子P,,5p,5,moka,FALSE,,,永远赤红的幼月,FALSE
64,酔いどれ知らず,Unaware Drunkard,Kanaria,,,1,Taro²,FALSE,,,そーちん,FALSE
65,Adios,Adios,EVERGLOW,,,3,Ureshiiiiii,FALSE,,,Ureshiiiiii,FALSE
66,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,,Solo,1,Kimagure,FALSE,,,Danielle Mellow,FALSE
67,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,,5p,5,Kimagure,FALSE,,,Kimagure,FALSE
68,Apple Pie,Apple Pie,FIESTAR,,,1,Ademar440,FALSE,,,RituPepper,FALSE
69,BAAM,BAAM,MOMOLAND,,,1,Kimagure,FALSE,,,Kimagure,FALSE
70,Excuse me,Excuse me,BESTie,,,1,akomni,FALSE,,,akomni,FALSE
71,Killer Lady,Killer Lady,八王子P,,Solo,1,アガちん,FALSE,Lise & 永远赤红的幼月,,永远赤红的幼月,FALSE
72,Killer Lady,Killer Lady,八王子P,,2p,2,アガちん,FALSE,,,アガちん,FALSE
73,Killer Lady,Killer Lady,八王子P,,4p,4,アガちん,FALSE,,,アガちん,FALSE
74,Mellow Mellow,Mellow Mellow,Berry Good,,1~5p,1,LadieAlien,FALSE,,,LadieAlien,FALSE
75,Sea Breeze,Sea Breeze,ZiNG & ANCHOR / アイマリン (CV 内田 彩)  /  アイワリン (CV 竹達 彩奈),,Solo,1,GCMH,FALSE,ぷっこさん,,鏡／きょう,FALSE
76,Sea Breeze,Sea Breeze,ZiNG & ANCHOR / アイマリン (CV 内田 彩)  /  アイワリン (CV 竹達 彩奈),,2p,2,GCMH,FALSE,ぷっこさん,,RituPepper,FALSE
77,Stay Tonight,Stay Tonight,CHUNG HA,,,1,NikisaSan,FALSE,,,NikisaSan,FALSE
78,ハイファイレイヴァー,Hi-Fi Raver,EasyPop(BETTI),,,1,アガちん,FALSE,,,妮谷丹,FALSE
79,ミラクルペイント,Miracle Paint,OSTER project,,,1,盗賊@つばきP,FALSE,,,かつサンド,FALSE
80,リバーシブル・キャンペーン,Reversible Campaign,DECO＊27,,,1,じゅんこだ,FALSE,,,猫型dog,FALSE
81,ロミオとシンデレラ,Romeo and Cinderella,doriko,,,1,FlyingSpirits-P,FALSE,歆玥er,,歆玥er,FALSE
82,一億年先の世界で,Ichiokunen Saki no Sekai de,daniwell,,,1,ほうき堂,FALSE,,,かつサンド,FALSE
83,夜もすがら君想ふ,Yomo Sugara Kimi Omou,TOKOTOKO (西沢さんP),,,1,なつき,FALSE,,,神崎綾春,FALSE
84,Chocolate Cream,Chocolate Cream,LAYSHA,,2p,2,Ureshiiiiii,FALSE,,,Ureshiiiiii,FALSE
94,Chocolate Cream,Chocolate Cream,LAYSHA,,Solo,1,Ureshiiiiii,FALSE,,,MARUSU,TRUE
85,ECHO,ECHO,Crusher-P,みい,,3,moka,FALSE,,,納豆チーズ,FALSE
86,Very Nice,Very Nice,SEVENTEEN,,,1,Ureshiiiiii,FALSE,,,Ureshiiiiii,FALSE
87,WILDFIRE,WILDFIRE,CIRCRUSH,,,1,Ureshiiiiii,FALSE,,,Ureshiiiiii,FALSE
88,うそつき,Usotsuki,つなまる,,,1,20yen,FALSE,,,こざくらみる,FALSE
89,1000年生きてる,Living Millennium,いよわ,,,1,ほうき堂,FALSE,,ちゃな,ほうき堂,FALSE
90,Nyan Cat EX,Nyan Cat EX,daniwell,,,1,ほうき堂,FALSE,,,レンゲ草,FALSE
91,デビルじゃないもん,(Not) A Devil,DECO＊27 x ピノキオピー,,2p,2,絢姫,FALSE,,,絢姫,FALSE
162,デビルじゃないもん,(Not) A Devil,DECO＊27 x ピノキオピー,,Solo,1,絢姫,TRUE,,,Aparche,FALSE
92,プラネタリウムの真実,Planetarium No Shinjitsu,夏代孝明,,,1,盗賊@つばきP,FALSE,,,天音ゆき,FALSE
93,メランコリ・ナイト,Melancholy Night,higma,,,1,ほうき堂,FALSE,,,カンナギかも,FALSE
95,JUMP UP,JUMP UP,DECO＊27,,,1,mobiusP,FALSE,,,覚醒拓也(KT),FALSE
96,Love Me If You Can,Love Me If You Can,梅とら,ヲタみん,2p,2,さだなか,FALSE,だんしゃくいも & かごるま(仮),,かごるま(仮),FALSE
97,Love Me If You Can,Love Me If You Can,梅とら,ヲタみん,Solo-Cam1,1,さだなか,FALSE,だんしゃくいも & かごるま(仮),,CegooK,FALSE
98,Love Me If You Can,Love Me If You Can,梅とら,ヲタみん,Solo-Cam2,1,さだなか,FALSE,だんしゃくいも & かごるま(仮),,MARUSU,FALSE
99,Prhythmatic,Prhythmatic,Reno,,,1,mobiusP,FALSE,,,おミラーさん,FALSE
100,パメラ,Pamela,バルーン,,,1,きあおみようじ,FALSE,きあおみようじ & ねぎ天,,ねぎ天,FALSE
101,帝国少女,Imperial Girl,R Sound Design,Sawako碎花子,,1,じゅんこだ,FALSE,,,予沉,FALSE
102,疑心暗鬼,Gishin'anki,梅とら,,Cam1,1,のあき,FALSE,,,DG-RINER,TRUE
103,疑心暗鬼,Gishin'anki,梅とら,,Cam2,1,のあき,FALSE,,,MARUSU,FALSE
104,Broken,Broken,Young London (culture code remix),,,1,Ureshiiiiii,FALSE,,,Ureshiiiiii,FALSE
105,GETCHA!,GETCHA!,Giga & KIRA,,Cam1,1,apr(社会の窓P),FALSE,,ノン,apr(社会の窓P),FALSE
106,GETCHA!,GETCHA!,Giga & KIRA,,Cam2,1,apr(社会の窓P),FALSE,,ノン,SvaliN,FALSE
107,GETCHA!,GETCHA!,Giga & KIRA,,Cam3,1,apr(社会の窓P),FALSE,,ノン,10million,FALSE
108,Hand Clap,Hand Clap,Fitz and the Tantrums,,,1,Ureshiiiiii,FALSE,,,Ureshiiiiii,FALSE
109,Phone Number,Phone Number,TAHITI,,,1,Ureshiiiiii,FALSE,,,Ureshiiiiii,FALSE
110,Primary Star,Primary Star,Reno,,,1,mobiusP,FALSE,,,TheSodaWave,FALSE
111,Say So,Say So,Doja Cat,,,1,Pianomanjojo,FALSE,,,JunkoMMD,TRUE
112,Shadow Shadow,Shadow Shadow,Azari,Dear：,,1,楕円,FALSE,,,鷹羽はるひ,FALSE
113,アイドル,Idol,YOASOBI,,A,1,卜逻desu,FALSE,,,千月其一,FALSE
178,アイドル,Idol,YOASOBI,,B,1,たこはちP,FALSE,,ノン,えいちゃん,FALSE
114,ファンサ,Fansa,HoneyWorks / Mona (CV 夏川椎菜),,,1,づなうじ,FALSE,,ノン,予沉,FALSE
115,Lupin,Lupin,Kara,,,1,なこ & まにまに,FALSE,ノン,,らいらい,FALSE
116,Lupin,Lupin,Kara,,Extended,1,RELLEAA,FALSE,ノン,,dreamydark,FALSE
117,Rolling Girl,Rolling Girl,wowaka,,,1,KAZUSA,FALSE,ぎょぎょ,,ぎょぎょ,FALSE
118,パラステラル,Parastellar,emon(Tes.),,,1,わかちん,FALSE,,,master206,FALSE
119,メランコリック,Melancholic,Junky,,,1,廢材,FALSE,,M.Liang,廢材,FALSE
120,失敗作少女,Failure Girl,かいりきベア,,Cam1,1,伊達の犬,FALSE,,,ひつまぶし,FALSE
121,失敗作少女,Failure Girl,かいりきベア,,Cam2,1,伊達の犬,FALSE,,,駿鋭,TRUE
122,CLOSER,CLOSER,OH MY GIRL,,,1,naogei,FALSE,,,naogei,FALSE
123,MIC Drop,MIC Drop,BTS,,7p,7,Iven Padilla,FALSE,,,VGS Productions,FALSE
163,MIC Drop,MIC Drop,BTS,,Solo,1,Iven Padilla,TRUE,,,VGS Productions,TRUE
124,SHAKE IT,SHAKE IT,SISTAR,,,1,Natsumi San,FALSE,,,vingoo,FALSE
125,ドクヘビ,Dokuhebi,Camellia,,,1,mobiusP,FALSE,,,SvaliN,FALSE
126,天使の翼,Angel's Wing,A4。,,,1,こっちゃ,FALSE,,Hana MMD,たらど,FALSE
127,Marionette,Marionette,Stellar,,Solo,1,Max MXMV,FALSE,,,LaunchCover,FALSE
128,Marionette,Marionette,Stellar,,4p,4,Max MXMV,FALSE,,,LaunchCover,FALSE
129,えれくとりっく・えんじぇぅ,Electric Angel,ヤスオP,,,1,20yen,FALSE,,,20yen,FALSE
130,ネガイボシ,Negaiboshi,市瀬るぽ,,,1,P.I.P,FALSE,,,SvaliN,FALSE
